"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0.75269262467531,-0.0349495780353849,-0.0322365970919989,-0.0304811388345138,-0.0217836411042468,-0.0188312794893855,-0.0180333439178013,-0.0172354083462172,-0.0169162341175836,-0.0165970598889499,-0.015639537203049,-0.014682014517148,-0.012368001359554,-0.0122084142452372,-0.0121286206880788,-0.0116498593451283,-0.01005398820196,-0.0116498593451283,-0.0107721302163858,-0.0104529559877521,-0.0102135753162769,-0.00989440108764322,-0.0098146075304848,-0.00957522685900956,-0.00933584618753432,-0.00901667195890067,-0.00893687840174226,-0.00893687840174226,-0.00861770417310861,-0.00861770417310861,-0.00845811705879178,-0.00845811705879178,-0.00789956215868289,-0.00758038793004924,-0.00710162658709876,-0.00773997504436606,-0.00750059437289082,-0.00710162658709876,-0.00710162658709876,-0.00710162658709876,-0.00670265880130669,-0.00662286524414828,-0.00638348457267304,-0.00662286524414828,-0.00622389745835622,-0.00606431034403939,-0.00582492967256415,-0.00598451678688098,-0.00590472322972256,-0.00534616832961367
-0.0805092439864647,1.35772379364828,-0.0573646112355057,-0.0542407957721861,-0.0387637100675571,-0.0335100204247013,-0.0320901043050106,-0.0306701881853199,-0.0301022217374436,-0.0295342552895673,-0.0278303559459384,-0.0261264566023095,-0.0220086998552064,-0.0217247166312682,-0.0215827250192992,-0.0207307753474847,-0.0178909431081033,-0.0207307753474847,-0.0191688676158249,-0.0186009011679486,-0.0181749263320414,-0.0176069598841651,-0.017464968272196,-0.0170389934362888,-0.0166130186003816,-0.0160450521525053,-0.0159030605405362,-0.0159030605405362,-0.0153350940926599,-0.0153350940926599,-0.0150511108687218,-0.0150511108687218,-0.0140571695849383,-0.013489203137062,-0.0126372534652475,-0.0137731863610001,-0.0133472115250929,-0.0126372534652475,-0.0126372534652475,-0.0126372534652475,-0.0119272954054022,-0.0117853037934331,-0.0113593289575259,-0.0117853037934331,-0.0110753457335877,-0.0107913625096496,-0.0103653876737424,-0.0106493708976805,-0.0105073792857114,-0.00951343800192792
-0.0742448359529357,-0.0573531536990932,1.25653165044863,-0.0500203303950995,-0.035747513606969,-0.0309026124954018,-0.0295931797625458,-0.0282837470296898,-0.0277599739365474,-0.027236200843405,-0.0256648815639778,-0.0240935622845506,-0.0202962073592681,-0.0200343208126969,-0.0199033775394113,-0.0191177178996977,-0.0164988524339857,-0.0191177178996977,-0.0176773418935561,-0.0171535688004137,-0.0167607389805569,-0.0162369658874145,-0.0161060226141289,-0.0157131927942721,-0.0153203629744153,-0.0147965898812729,-0.0146656466079873,-0.0146656466079873,-0.0141418735148449,-0.0141418735148449,-0.0138799869682737,-0.0138799869682737,-0.0129633840552745,-0.0124396109621321,-0.0116539513224185,-0.0127014975087033,-0.0123086676888465,-0.0116539513224185,-0.0116539513224185,-0.0116539513224185,-0.0109992349559905,-0.0108682916827049,-0.0104754618628481,-0.0108682916827049,-0.0102135753162769,-0.00995168876970567,-0.00955885894984886,-0.00982074549642007,-0.00968980222313447,-0.00877319931013526
-0.0621800501105837,-0.0480332662229905,-0.0443046565161831,1.05475788706101,-0.0299385426458366,-0.025880937964899,-0.0247842880511321,-0.0236876381373652,-0.0232489781718584,-0.0228103182063517,-0.0214943383098314,-0.0201783584133111,-0.0169980736633871,-0.0167787436806337,-0.016669078689257,-0.0160110887409969,-0.013817788913463,-0.0160110887409969,-0.0148047738358533,-0.0143661138703465,-0.0140371188962164,-0.0135984589307097,-0.013488793939333,-0.0131597989652029,-0.0128308039910728,-0.0123921440255661,-0.0122824790341894,-0.0122824790341894,-0.0118438190686826,-0.0118438190686826,-0.0116244890859292,-0.0116244890859292,-0.0108568341462924,-0.0104181741807856,-0.00976018423252548,-0.010637504163539,-0.0103085091894089,-0.00976018423252548,-0.00976018423252548,-0.00976018423252548,-0.00921185927564202,-0.00910219428426533,-0.00877319931013526,-0.00910219428426533,-0.00855386932738188,-0.0083345393446285,-0.00800554437049843,-0.00822487435325181,-0.00811520936187511,-0.00734755442223828
-0.058003778088231,-0.0448071513274165,-0.0413289706307678,-0.0390783831211715,0.995066577538312,-0.0241426660120327,-0.0231196716894889,-0.0220966773669451,-0.0216874796379276,-0.0212782819089101,-0.0200506887218576,-0.0188230955348051,-0.0158564119994282,-0.0156518131349195,-0.0155495137026651,-0.0149357171091388,-0.0128897284640513,-0.0149357171091388,-0.0138104233543407,-0.0134012256253232,-0.0130943273285601,-0.0126851295995426,-0.0125828301672882,-0.0122759318705251,-0.011969033573762,-0.0115598358447445,-0.0114575364124901,-0.0114575364124901,-0.0110483386834726,-0.0110483386834726,-0.0108437398189638,-0.0108437398189638,-0.0101276437931832,-0.00971844606416569,-0.00910464947063943,-0.00992304492867444,-0.00961614663191131,-0.00910464947063943,-0.00910464947063943,-0.00910464947063943,-0.00859315230936756,-0.00849085287711318,-0.00818395458035005,-0.00849085287711318,-0.0079793557158413,-0.00777475685133255,-0.00746785855456942,-0.00767245741907818,-0.0075701579868238,-0.00685406196104317
-0.0937341053905813,-0.0724083565451051,-0.0667876165393207,-0.0631506671238132,-0.0451312359287984,1.61414427695527,-0.0373613894502141,-0.0357082306249834,-0.0350469670948911,-0.0343857035647988,-0.0324019129745219,-0.0304181223842451,-0.025623961791076,-0.0252933300260299,-0.0251280141435068,-0.0241361188483684,-0.020829801197907,-0.0241361188483684,-0.0223176441406146,-0.0216563806105223,-0.0211604329629531,-0.0204991694328608,-0.0203338535503377,-0.0198379059027685,-0.0193419582551993,-0.018680694725107,-0.018515378842584,-0.018515378842584,-0.0178541153124917,-0.0178541153124917,-0.0175234835474455,-0.0175234835474455,-0.016366272369784,-0.0157050088396918,-0.0147131135445533,-0.0160356406047379,-0.0155396929571687,-0.0147131135445533,-0.0147131135445533,-0.0147131135445533,-0.013886534131938,-0.0137212182494149,-0.0132252706018457,-0.0137212182494149,-0.0128946388367995,-0.0125640070717534,-0.0120680594241842,-0.0123986911892303,-0.0122333753067073,-0.0110761641290458
-0.0791171533123471,-0.0611169544105962,-0.0563727159403672,-0.0533029145772779,-0.0380934441874264,-0.0329305964404126,1.36382902376522,-0.0301398679285132,-0.0295817222261333,-0.0290235765237534,-0.0273491394166138,-0.0256747023094742,-0.0216281459672201,-0.0213490731160302,-0.0212095366904352,-0.0203723181368654,-0.017581589624966,-0.0203723181368654,-0.0188374174553207,-0.0182792717529409,-0.017860662476156,-0.0173025167737761,-0.0171629803481811,-0.0167443710713962,-0.0163257617946113,-0.0157676160922314,-0.0156280796666365,-0.0156280796666365,-0.0150699339642566,-0.0150699339642566,-0.0147908611130667,-0.0147908611130667,-0.0138141061339019,-0.013255960431522,-0.0124187418779522,-0.0135350332827119,-0.013116424005927,-0.0124187418779522,-0.0124187418779522,-0.0124187418779522,-0.0117210597499773,-0.0115815233243824,-0.0111629140475975,-0.0115815233243824,-0.0108838411964075,-0.0106047683452176,-0.0101861590684327,-0.0104652319196226,-0.0103256954940277,-0.00934894051486288
-0.0877017124694053,-0.0677484128070538,-0.0624894035937209,-0.0590865152792113,-0.0422267504482322,-0.0365037110101934,-0.0349569435945072,1.51335723950734,-0.0327914692125466,-0.0321727622462721,-0.0303166413474487,-0.0284605204486253,-0.0239748949431355,-0.0236655414599983,-0.0235108647184296,-0.0225828042690179,-0.0194892694376456,-0.0225828042690179,-0.0208813601117632,-0.0202626531454887,-0.0197986229207829,-0.0191799159545084,-0.0190252392129398,-0.0185612089882339,-0.0180971787635281,-0.0174784717972536,-0.017323795055685,-0.017323795055685,-0.0167050880894105,-0.0167050880894105,-0.0163957346062733,-0.0163957346062733,-0.015312997415293,-0.0146942904490185,-0.0137662299996068,-0.0150036439321558,-0.0145396137074499,-0.0137662299996068,-0.0137662299996068,-0.0137662299996068,-0.0129928462917637,-0.0128381695501951,-0.0123741393254893,-0.0128381695501951,-0.0120647858423521,-0.0117554323592148,-0.011291402134509,-0.0116007556176462,-0.0114460788760776,-0.0103633416850973
-0.0526674305041138,-0.0406848934052942,-0.0375267053327371,-0.0354831718740237,-0.0253583924649437,-0.0219215407389257,-0.0209926618940559,-0.0200637830491862,0.909186613358493,-0.0193206799732904,-0.0182060253594467,-0.0170913707456031,-0.0143976220954808,-0.0142118463265069,-0.0141189584420199,-0.0135616311350981,-0.0117038734453586,-0.0135616311350981,-0.0125398644057414,-0.0121683128677935,-0.0118896492143326,-0.0115180976763847,-0.0114252097918977,-0.0111465461384368,-0.0108678824849759,-0.010496330947028,-0.010403443062541,-0.010403443062541,-0.0100318915245931,-0.0100318915245931,-0.00984611575561915,-0.00984611575561915,-0.00919590056421034,-0.00882434902626245,-0.00826702171934061,-0.00901012479523639,-0.00873146114177547,-0.00826702171934061,-0.00826702171934061,-0.00826702171934061,-0.00780258229690574,-0.00770969441241877,-0.00743103075895785,-0.00770969441241877,-0.0072452549899839,-0.00705947922100996,-0.00678081556754904,-0.00696659133652298,-0.00687370345203601,-0.0062234882606272
-0.0707646092676418,-0.0546647246194482,-0.0504213441695367,-0.0476756274078292,-0.0340718489066424,-0.0294540525346798,-0.0282059994611765,-0.0269579463876731,-0.0264587251582717,1.22209356957451,-0.0244618402406663,-0.0229641765524623,-0.0193448226393024,-0.0190952120246018,-0.0189704067172514,-0.0182215748731494,-0.0157254687261426,-0.0182215748731494,-0.0168487164922957,-0.0163494952628943,-0.0159750793408433,-0.015475858111442,-0.0153510528040916,-0.0149766368820406,-0.0146022209599896,-0.0141029997305882,-0.0139781944232379,-0.0139781944232379,-0.0134789731938365,-0.0134789731938365,-0.0132293625791359,-0.0132293625791359,-0.0123557254276835,-0.0118565041982821,-0.0111076723541801,-0.0121061148129828,-0.0117316988909318,-0.0111076723541801,-0.0111076723541801,-0.0111076723541801,-0.0104836458174284,-0.0103588405100781,-0.00998442458802707,-0.0103588405100781,-0.00973481397332639,-0.00948520335862571,-0.0091107874365747,-0.00936039805127537,-0.00923559274392504,-0.00836195559247267
-0.0591638536499956,-0.0457032943539649,-0.0421555500433831,-0.0398599507835949,-0.0284862999055535,-0.0246255193322733,-0.0235820651232787,-0.0225386109142841,-0.0221212292306862,-0.0217038475470883,1.02300250649834,-0.0191995574455012,-0.0161735402394168,-0.0159648493976179,-0.0158605039767184,-0.0152344314513216,-0.0131475230333324,-0.0152344314513216,-0.0140866318214275,-0.0136692501378297,-0.0133562138751313,-0.0129388321915334,-0.012834486770634,-0.0125214505079356,-0.0122084142452372,-0.0117910325616393,-0.0116866871407399,-0.0116866871407399,-0.011269305457142,-0.011269305457142,-0.0110606146153431,-0.0110606146153431,-0.0103301966690469,-0.009912814985449,-0.00928674246005222,-0.0101215058272479,-0.00980846956454954,-0.00928674246005222,-0.00928674246005222,-0.00928674246005222,-0.00876501535555491,-0.00866066993465544,-0.00834763367195706,-0.00866066993465544,-0.00813894283015813,-0.0079302519883592,-0.00761721572566081,-0.00782590656745974,-0.00772156114656028,-0.00699114320026403
-0.0638041558970541,-0.0492878664601582,-0.0454618676938446,-0.0429862214332887,-0.030720519505989,-0.0265569326132359,-0.0254316388584378,-0.0243063451036397,-0.0238562276017204,-0.0234061100998012,-0.0220557575940434,1.10458834970985,-0.0174420531993711,-0.0172169944484114,-0.0171044650729316,-0.0164292888200527,-0.0141787013104565,-0.0164292888200527,-0.0151914656897748,-0.0147413481878555,-0.0144037600614161,-0.0139536425594968,-0.013841113184017,-0.0135035250575776,-0.0131659369311381,-0.0127158194292189,-0.0126032900537391,-0.0126032900537391,-0.0121531725518198,-0.0121531725518198,-0.0119281138008602,-0.0119281138008602,-0.0111404081725015,-0.0106902906705823,-0.0100151144177034,-0.0109153494215419,-0.0105777612951024,-0.0100151144177034,-0.0100151144177034,-0.0100151144177034,-0.00945246754030431,-0.0093399381648245,-0.00900235003838506,-0.0093399381648245,-0.00877729128742543,-0.00855223253646581,-0.00821464441002637,-0.00843970316098599,-0.00832717378550618,-0.00753946815714749
-0.0719246848294065,-0.0555608676459965,-0.051247923582152,-0.0484571950702527,-0.0346304038067513,-0.0299369058549205,-0.0286683928949662,-0.027399879935012,-0.0268924747510303,-0.0263850695670486,-0.0248628540151035,-0.0233406384631584,1.24885100907497,-0.0194082482873002,-0.0192813969913047,-0.0185202892153322,-0.0159832632954237,-0.0185202892153322,-0.0171249249593825,-0.0166175197754008,-0.0162369658874145,-0.0157295607034328,-0.0156027094074374,-0.0152221555194511,-0.0148416016314648,-0.0143341964474831,-0.0142073451514877,-0.0142073451514877,-0.013699939967506,-0.013699939967506,-0.0134462373755151,-0.0134462373755151,-0.0125582783035472,-0.0120508731195655,-0.0112897653435929,-0.0123045757115563,-0.01192402182357,-0.0112897653435929,-0.0112897653435929,-0.0112897653435929,-0.0106555088636158,-0.0105286575676203,-0.0101481036796341,-0.0105286575676203,-0.00989440108764322,-0.00964069849565237,-0.00926014460766609,-0.00951384719965694,-0.00938699590366151,-0.00849903683169353
-0.0598598989870544,-0.0462409801698939,-0.0426514976909523,-0.040328891381049,-0.0288214328456188,-0.0249152313244177,-0.0238595011835525,-0.0228037710426874,-0.0223814789863413,-0.0219591869299953,-0.0206923107609571,-0.0194254345919189,-0.0163638171834099,1.03957746970992,-0.0160470981411504,-0.0154136600566313,-0.013302199774901,-0.0154136600566313,-0.0142523569016796,-0.0138300648453336,-0.013513345803074,-0.0130910537467279,-0.0129854807326414,-0.0126687616903819,-0.0123520426481223,-0.0119297505917763,-0.0118241775776898,-0.0118241775776898,-0.0114018855213437,-0.0114018855213437,-0.0111907394931707,-0.0111907394931707,-0.0104517283945651,-0.010029436338219,-0.0093959982536999,-0.010240582366392,-0.00992386332413248,-0.0093959982536999,-0.0093959982536999,-0.0093959982536999,-0.00886813318326732,-0.0087625601691808,-0.00844584112692126,-0.0087625601691808,-0.00823469509874823,-0.00802354907057519,-0.00770683002831565,-0.00791797605648868,-0.00781240304240216,-0.00707339194379655
-0.0663563221329363,-0.0512593811185645,-0.0472803424015983,-0.0447056702906202,-0.0319493402862286,-0.0276192099177654,-0.0264489044127753,-0.0252785989077852,-0.0248104767057892,-0.0243423545037932,-0.0229379878978051,-0.0215336212918171,-0.0181397353273459,-0.0179056742263479,1.15251686131421,-0.0170864603728548,-0.0147458493628747,-0.0170864603728548,-0.0157991243173658,-0.0153310021153698,-0.0149799104638727,-0.0145117882618767,-0.0143947577113777,-0.0140436660598807,-0.0136925744083837,-0.0132244522063877,-0.0131074216558886,-0.0131074216558886,-0.0126392994538926,-0.0126392994538926,-0.0124052383528946,-0.0124052383528946,-0.0115860244994016,-0.0111179022974055,-0.0104157189944115,-0.0113519633984036,-0.0110008717469065,-0.0104157189944115,-0.0104157189944115,-0.0104157189944115,-0.00983056624191648,-0.00971353569141748,-0.00936244403992046,-0.00971353569141748,-0.00912838293892245,-0.00889432183792444,-0.00854323018642742,-0.00877729128742543,-0.00866026073692643,-0.00784104688343339
-0.0596278838747015,-0.0460617515645842,-0.0424861818084293,-0.0401725778485643,-0.028709721865597,-0.0248186606603696,-0.0237670224967946,-0.0227153843332196,-0.0222947290677896,-0.0218740738023596,-0.0206121080060696,-0.0193501422097797,-0.0163003915354122,-0.0160900639026972,-0.0159849000863397,1.03628424638679,-0.0132506408610448,-0.0153539171881947,-0.0141971152082623,-0.0137764599428323,-0.0134609684937598,-0.0130403132283298,-0.0129351494119723,-0.0126196579628998,-0.0123041665138273,-0.0118835112483973,-0.0117783474320398,-0.0117783474320398,-0.0113576921666098,-0.0113576921666098,-0.0111473645338948,-0.0111473645338948,-0.0104112178193923,-0.00999056255396233,-0.00935957965581734,-0.0102008901866773,-0.00988539873760483,-0.00935957965581734,-0.00935957965581734,-0.00935957965581734,-0.00883376057402985,-0.00872859675767235,-0.00841310530859985,-0.00872859675767235,-0.00820277767588486,-0.00799245004316986,-0.00767695859409737,-0.00788728622681236,-0.00778212241045487,-0.00704597569595238
-0.0786531230876412,-0.0607584971999768,-0.0560420841753211,-0.0529902875123086,-0.0378700222273828,-0.0327374551123163,-0.031350274810947,-0.0299630945095776,-0.0294082223890299,-0.0288533502684821,-0.027188733906839,-0.0255241175451957,-0.0215012946712247,-0.0212238586109508,-0.0210851405808139,-0.0202528323999923,1.36970182957208,-0.0202528323999923,-0.018726934068486,-0.0181720619479383,-0.0177559078575275,-0.0172010357369797,-0.0170623177068428,-0.016646163616432,-0.0162300095260212,-0.0156751374054735,-0.0155364193753365,-0.0155364193753365,-0.0149815472547888,-0.0149815472547888,-0.0147041111945149,-0.0147041111945149,-0.0137330849835564,-0.0131782128630087,-0.0123459046821871,-0.0134556489232825,-0.0130394948328717,-0.0123459046821871,-0.0123459046821871,-0.0123459046821871,-0.0116523145315024,-0.0115135965013655,-0.0110974424109547,-0.0115135965013655,-0.0108200063506808,-0.0105425702904069,-0.0101264161999961,-0.01040385226027,-0.0102651342301331,-0.00929410801917454
-0.085613576458229,-0.0661353553592668,-0.0610015606510132,-0.0576796934868491,-0.0412213516280362,-0.0356345750337602,-0.0341246354136856,-0.032614695793611,-0.0320107199455812,-0.0314067440975514,-0.0295948165534619,-0.0277828890093724,-0.0234040641111561,-0.0231020761871412,-0.0229510822251337,-0.0220451184530889,-0.0190252392129398,1.4878945016215,-0.0203841848710069,-0.0197802090229771,-0.0193272271369547,-0.0187232512889249,-0.0185722573269174,-0.018119275440895,-0.0176662935548726,-0.0170623177068428,-0.0169113237448354,-0.0169113237448354,-0.0163073478968055,-0.0163073478968055,-0.0160053599727906,-0.0160053599727906,-0.0149484022387384,-0.0143444263907086,-0.0134384626186638,-0.0146464143147235,-0.0141934324287011,-0.0134384626186638,-0.0134384626186638,-0.0134384626186638,-0.0126834928086265,-0.0125324988466191,-0.0120795169605967,-0.0125324988466191,-0.0117775290365818,-0.0114755411125668,-0.0110225592265445,-0.0113245471505594,-0.0111735531885519,-0.0101165954544997
-0.0747088661776416,-0.0577116109097125,-0.0532317141724289,-0.0503329574600689,-0.0359709355670126,-0.0310957538234981,-0.0297781371360617,-0.0284605204486254,-0.0279334737736508,-0.0274064270986763,-0.0258252870737526,-0.024244147048829,-0.0204230586552636,-0.0201595353177763,-0.0200277736490327,-0.0192372036365708,-0.0166019702616981,-0.0192372036365708,1.29982886215597,-0.0172607786054163,-0.0168654935991854,-0.0163384469242108,-0.0162066852554672,-0.0158114002492363,-0.0154161152430054,-0.0148890685680309,-0.0147573068992872,-0.0147573068992872,-0.0142302602243127,-0.0142302602243127,-0.0139667368868254,-0.0139667368868254,-0.01304440520562,-0.0125173585306454,-0.0117267885181836,-0.0127808818681327,-0.0123855968619018,-0.0117267885181836,-0.0117267885181836,-0.0117267885181836,-0.0110679801744654,-0.0109362185057218,-0.0105409334994909,-0.0109362185057218,-0.0102774101620036,-0.0100138868245163,-0.00961860181828542,-0.00988212515577269,-0.00975036348702906,-0.0088280318058236
-0.0842214857841114,-0.0650599837274088,-0.0600096653558748,-0.056741812291941,-0.0405510857479055,-0.0350551510494714,-0.0335697632931379,-0.0320843755368044,-0.0314902204342709,-0.0308960653317375,-0.0291136000241373,-0.027331134716537,-0.0230235102231698,-0.0227264326719031,-0.0225778938962697,-0.0216866612424696,-0.0187158857298025,-0.0216866612424696,-0.0200527347105027,1.46592917672557,-0.0190129632810692,-0.0184188081785358,-0.0182702694029025,-0.0178246530760024,-0.0173790367491024,-0.0167848816465689,-0.0166363428709356,-0.0166363428709356,-0.0160421877684022,-0.0160421877684022,-0.0157451102171355,-0.0157451102171355,-0.014705338787702,-0.0141111836851686,-0.0132199510313685,-0.0144082612364353,-0.0139626449095352,-0.0132199510313685,-0.0132199510313685,-0.0132199510313685,-0.0124772571532017,-0.0123287183775683,-0.0118831020506683,-0.0123287183775683,-0.0115860244994016,-0.0112889469481349,-0.0108433306212348,-0.0111404081725015,-0.0109918693968682,-0.00995209796743468
-0.0851495462335231,-0.0657768981486475,-0.0606709288859671,-0.0573670664218798,-0.0409979296679926,-0.0354414337056639,-0.0339396780401697,-0.0324379223746755,-0.0318372201084778,-0.0312365178422801,-0.029434411043687,-0.0276323042450939,-0.0232772128151606,-0.0229768616820618,-0.0228266861155124,-0.0219256327162158,-0.0189221213852274,-0.0219256327162158,-0.0202737014841722,-0.0196729992179745,1.48253319297591,-0.0186217702521285,-0.0184715946855791,-0.0180210679859308,-0.0175705412862825,-0.0169698390200849,-0.0168196634535354,-0.0168196634535354,-0.0162189611873377,-0.0162189611873377,-0.0159186100542389,-0.0159186100542389,-0.0148673810883929,-0.0142666788221952,-0.0133656254228987,-0.0145670299552941,-0.0141165032556458,-0.0133656254228987,-0.0133656254228987,-0.0133656254228987,-0.0126147475901516,-0.0124645720236021,-0.0120140453239539,-0.0124645720236021,-0.011713694190855,-0.0114133430577562,-0.0109628163581079,-0.0112631674912068,-0.0111129919246573,-0.0100617629588114
-0.0821333497729351,-0.0634469262796218,-0.0585218224131672,-0.0553349904995789,-0.0395456869277095,-0.0341860150730382,-0.0327374551123163,-0.0312888951515943,-0.0307094711673055,-0.0301300471830168,-0.0283917752301504,-0.0266535032772841,-0.0224526793911904,-0.022162967399046,-0.0220181114029738,-0.0211489754265406,-0.0182518555050967,-0.0211489754265406,-0.0195555594697465,-0.0189761354854577,-0.0185415674972411,1.43059781720901,-0.0178172875168801,-0.0173827195286635,-0.0169481515404469,-0.0163687275561581,-0.016223871560086,-0.016223871560086,-0.0156444475757972,-0.0156444475757972,-0.0153547355836528,-0.0153547355836528,-0.0143407436111474,-0.0137613196268586,-0.0128921836504254,-0.014051031619003,-0.0136164636307864,-0.0128921836504254,-0.0128921836504254,-0.0128921836504254,-0.0121679036700645,-0.0120230476739923,-0.0115884796857757,-0.0120230476739923,-0.0112987676936313,-0.0110090557014869,-0.0105744877132703,-0.0108641997054147,-0.0107193437093425,-0.00970535173683713
-0.082597379997641,-0.0638053834902412,-0.0588524541782133,-0.0556476175645482,-0.0397691088877531,-0.0343791564011345,-0.0329224124858322,-0.0314656685705299,-0.030882971004409,-0.030300273438288,-0.0285521807399253,-0.0268040880415625,-0.0225795306871858,-0.0222881819041253,-0.0221425075125951,-0.0212684611634137,-0.0183549733328091,-0.0212684611634137,-0.0196660428565812,-0.0190833452904603,-0.0186463221158696,-0.0180636245497486,1.43882596514409,-0.0174809269836277,-0.017043903809037,-0.0164612062429161,-0.0163155318513859,-0.0163155318513859,-0.0157328342852649,-0.0157328342852649,-0.0154414855022045,-0.0154414855022045,-0.0144217647614929,-0.0138390671953719,-0.0129650208461906,-0.0141304159784324,-0.0136933928038417,-0.0129650208461906,-0.0129650208461906,-0.0129650208461906,-0.0122366488885394,-0.0120909744970092,-0.0116539513224185,-0.0120909744970092,-0.011362602539358,-0.0110712537562976,-0.0106342305817069,-0.0109255793647673,-0.0107799049732371,-0.00976018423252548
-0.0872376822446994,-0.0673899555964345,-0.0621587718286747,-0.0587738882142419,-0.0420033284881886,-0.0363105696820971,-0.0347719862209913,-0.0332334027598855,-0.0326179693754432,-0.0320025359910008,-0.0301562358376739,-0.0283099356843469,-0.0238480436471401,-0.0235403269549189,-0.0233864686088083,-0.0224633185321448,-0.0193861516099332,-0.0224633185321448,-0.0207708767249284,-0.0201554433404861,-0.0196938683021544,-0.019078434917712,-0.0189245765716015,1.52012045957254,-0.018001426494938,-0.0173859931104957,-0.0172321347643851,-0.0172321347643851,-0.0166167013799428,-0.0166167013799428,-0.0163089846877216,-0.0163089846877216,-0.0152319762649475,-0.0146165428805052,-0.0136933928038417,-0.0149242595727264,-0.0144626845343946,-0.0136933928038417,-0.0136933928038417,-0.0136933928038417,-0.0129241010732888,-0.0127702427271782,-0.0123086676888465,-0.0127702427271782,-0.0120009509966253,-0.0116932343044042,-0.0112316592660724,-0.0115393759582936,-0.011385517612183,-0.0103085091894089
